# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 14 12:19:29 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN tran_flag:      Detected by Transits
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-1107 b,TOI-1107,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,4.07823870,0.056100,14.572,1.300,1064.72516,3.35000,Mass,0.025000,532.00,1728,2459385.012300,0,,,<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,F6 V,6311.00,1.81,1.35,-0.100,[Fe/H],4.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.3140000,10.5530000,9.2050000,10.3745000,2022-06-08,2022-05,2022-06-08
TOI-1130 b,TOI-1130,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=KORTH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.115K/abstract target=ref>Korth et al. 2023</a>,4.07445000,0.044570,3.560,0.318,19.28000,0.06066,Mass,0.054100,78.10,632,2458658.740500,1,,,<a refstr=KORTH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.115K/abstract target=ref>Korth et al. 2023</a>,K6-K7,4350.00,0.69,0.71,0.300,[Fe/H],4.62,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,11.5950000,8.3510000,10.9028000,2024-02-05,2023-07,2024-02-08
TOI-1130 c,TOI-1130,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=KORTH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.115K/abstract target=ref>Korth et al. 2023</a>,8.35023100,0.071910,13.320,1.188,325.69000,1.02474,Mass,0.045700,30.00,498,2458657.903220,1,,,<a refstr=KORTH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.115K/abstract target=ref>Korth et al. 2023</a>,K6-K7,4350.00,0.69,0.71,0.300,[Fe/H],4.62,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,11.5950000,8.3510000,10.9028000,2024-02-05,2023-07,2024-02-08
TOI-1136 b,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,4.17278000,,1.900,0.170,,,,0.031000,,,,0,,2.0700000,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2022-12-05,2022-10,2022-12-05
TOI-1136 c,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,6.25725000,,2.879,0.257,,,,0.117000,,,,0,,3.2700000,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2022-12-05,2022-10,2022-12-05
TOI-1136 d,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,12.51937000,,4.627,0.413,,,,0.016000,,,,0,,4.1200000,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2022-12-05,2022-10,2022-12-05
TOI-1136 e,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,18.79920000,,2.639,0.235,,,,0.057000,,,,0,,4.4500000,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2022-12-05,2022-10,2022-12-05
TOI-1136 f,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,26.31620000,,3.880,0.346,,,,0.012000,,,,0,,4.9600000,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2022-12-05,2022-10,2022-12-05
TOI-1136 g,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,39.53870000,,2.530,0.226,,,,0.036000,,,,0,,5.8000000,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2022-12-05,2022-10,2022-12-05
TOI-1181 b,TOI-1181,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,2.10319500,,14.572,1.300,375.03752,1.18000,Mass,,,,2458684.405800,0,,4.0570000,<a refstr=KAB_AACUTE_TH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501860K/abstract target=ref>Kab&aacute;th et al. 2022</a>,F9 IV,5990.00,1.75,1.19,0.050,[Fe/H],3.90,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m51.80s,297.2158166,+64d21m15.66s,64.3543506,302.8190000,10.5820000,9.2200000,10.4776000,2022-05-23,2022-05,2022-05-23
TOI-1194 b,TOI-1194,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=WANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231012458W/abstract target=ref>Wang et al. 2023</a>,2.31064400,0.034280,8.597,0.767,144.92975,0.45600,Mass,0.076000,,1391,2459632.288010,0,0.671700,1.6840000,<a refstr=WANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231012458W/abstract target=ref>Wang et al. 2023</a>,,5446.00,0.96,1.01,0.290,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h11m17.16s,167.8214811,+69d57m53.19s,69.9647749,149.6670000,11.3020000,9.3400000,10.9887000,2023-11-06,2023-10,2023-11-06
TOI-1201 b,TOI-1201,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,2.49198630,0.028700,2.415,0.215,6.28000,0.01976,Mass,0.000000,40.60,703,2459169.232220,0,,1.7470000,<a refstr=KOSSAKOWSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...656A.124K/abstract target=ref>Kossakowski et al. 2021</a>,M2.0 V,3476.00,0.51,0.51,0.050,[Fe/H],4.80,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h48m59.45s,42.2476999,-14d32m14.22s,-14.5372835,37.8871000,12.2600000,8.6460000,12.0966000,2021-09-27,2021-12,2021-09-27
TOI-122 b,TOI-122,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,5.07803000,0.039200,2.720,0.243,,,,0.000000,8.80,471,2458425.602564,0,0.560000,,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,M3 V,3403.00,0.33,0.31,,,4.88,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h11m47.58s,332.9482355,-58d56m45.91s,-58.9460850,62.1180000,15.5260000,10.7710000,14.3357000,2020-12-10,2021-01,2020-12-17
TOI-1221 b,TOI-1221,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,91.68278000,0.387000,2.910,0.260,1112.39942,3.50000,Mass,0.210000,6.06,440,2458404.179100,1,0.072000,8.1200000,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..217M/abstract target=ref>Mann et al. 2023</a>,,5592.00,1.03,0.93,0.060,[Fe/H],4.38,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h11m41.05s,107.9210254,-65d30m31.88s,-65.5088568,138.4110000,10.4940000,9.0360000,10.5262000,2023-05-16,2023-05,2023-05-16
TOI-1227 b,TOI-1227,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,27.36397000,0.088600,9.572,0.854,,,,,3.21,,2458617.462100,0,,4.8310000,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,M4.5V-M5V,3072.00,0.56,0.17,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m04.17s,186.7673635,-72d27m06.66s,-72.4518501,100.6410000,16.9990000,11.0340000,15.2514000,2022-03-28,2022-04,2022-03-28
TOI-1231 b,TOI-1231,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,24.24558600,0.128800,3.650,0.326,15.40000,0.04845,Mass,0.087000,1.93,330,2458685.116300,0,0.492000,3.2400000,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,M3 V,3553.00,0.48,0.48,0.041,[Fe/H],4.77,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h26m59.34s,156.7472600,-52d28m04.34s,-52.4678724,27.6227000,12.3600000,8.0690000,11.3600000,2021-11-09,2021-09,2021-11-09
TOI-1235 b,TOI-1235,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,3.44471400,,1.690,0.151,6.69000,0.02105,Mass,0.049000,,,2458683.614500,0,,,<a refstr=BLUHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A.132B/abstract target=ref>Bluhm et al. 2020</a>,M0.5 V,3997.00,0.62,0.63,0.330,[Fe/H],4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345000,11.4950000,7.8930000,10.8492000,2023-07-10,2022-09,2023-07-10
TOI-1246 b,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,4.30744000,0.049000,3.010,0.269,8.10000,0.02549,Mass,,196.00,955,2458686.565800,0,,,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-1246 c,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,5.90414400,0.061000,2.510,0.224,8.80000,0.02769,Mass,,129.00,860,2458683.466100,0,,,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-1246 d,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,18.65590000,0.131000,3.510,0.313,5.30000,0.01668,Mass,,28.00,586,2458688.965300,1,,,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-1246 e,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,37.92160000,0.211000,3.780,0.337,14.80000,0.04657,Mass,,11.00,462,2458700.713400,1,,,<a refstr=TURTELBOOM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411895T/abstract target=ref>Turtelboom et al. 2022</a>,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,4.65382000,0.051860,2.726,0.243,9.50000,0.02989,Mass,0.194000,185.00,1037,2458355.355290,0,0.087000,2.9616000,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,0.85,0.86,-0.020,[Fe/H],4.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,11.0230000,8.9950000,10.7180000,2020-02-06,2020-03,2020-02-13
TOI-125 c,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,9.15059000,0.081400,2.759,0.246,6.63000,0.02086,Mass,0.066000,77.59,828,2458361.908500,0,0.089100,2.9544000,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,0.85,0.86,-0.020,[Fe/H],4.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,11.0230000,8.9950000,10.7180000,2020-02-06,2020-03,2020-02-13
TOI-125 d,TOI-125,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,19.98000000,0.137000,2.930,0.261,13.60000,0.04279,Mass,0.168000,26.70,638,2458342.851600,0,0.100000,3.1128000,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.00,0.85,0.86,-0.020,[Fe/H],4.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,11.0230000,8.9950000,10.7180000,2020-02-06,2020-03,2020-02-13
TOI-1259 A b,TOI-1259 A,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,3.47797800,0.040700,11.456,1.022,140.16233,0.44100,Mass,0.000000,,963,2458686.700531,0,2.675900,2.4754000,<a refstr=MARTIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4132M/abstract target=ref>Martin et al. 2021</a>,,4775.00,0.71,0.74,-0.500,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h48m24.04s,282.1001665,+79d15m23.31s,79.2564761,118.1060000,12.0790000,9.6190000,11.8104000,2021-07-12,2021-11,2021-07-12
TOI-1260 b,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,3.12746300,0.036700,2.410,0.215,8.56000,0.02693,Mass,0.000000,95.58,871,2459065.564269,0,0.108200,2.0600000,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,0.67,0.68,-0.100,[Fe/H],4.57,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,11.9220000,8.9500000,11.5743000,2022-12-17,2022-12,2022-12-17
TOI-1260 c,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,7.49313400,0.065700,2.760,0.246,13.20000,0.04153,Mass,0.000000,29.81,651,2459068.270505,0,0.142100,1.9700000,<a refstr=LAM_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221204307L/abstract target=ref>Lam et al. 2022</a>,,4227.00,0.67,0.68,-0.100,[Fe/H],4.57,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,11.9220000,8.9500000,11.5743000,2022-12-17,2022-12,2022-12-17
